訂單編號,日期,門市,城市,產品,類別,單價,數量,金額,付款方式,會員編號
ORD-23088,2026-05-24,台中西屯店,台中,卡布奇諾,咖啡,110,1,110,信用卡,M0369
ORD-23860,2026-06-02,竹北高鐵店,新竹,冷萃咖啡,咖啡,140,1,140,行動支付,
ORD-23911,2026-06-03,公館店,台北,拿鐵,咖啡,110,1,110,LINE Pay,M0211
ORD-14033,2026-02-14,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-23056,2026-05-24,板橋車站店,新北,肉桂捲,甜點,85,1,85,行動支付,M0365
ORD-12469,2026-01-27,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,LINE Pay,M0041
ORD-19222,2026-04-11,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,LINE Pay,
ORD-22987,2026-05-23,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,LINE Pay,
ORD-17404,2026-03-23,信義旗艦店,台北,美式咖啡,咖啡,75,3,225,行動支付,
ORD-23744,2026-06-01,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,現金,
ORD-11623,2026-01-18,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-16213,2026-03-10,公館店,台北,美式咖啡,咖啡,75,1,75,LINE Pay,M0048
ORD-10973,2026-01-11,公館店,臺北,焦糖瑪奇朵,咖啡,130,1,130,LINE Pay,
ORD-19276,2026-04-12,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,行動支付,M0053
ORD-17436,2026-03-23,竹北高鐵店,新竹,冷萃咖啡,咖啡,140,2,280,信用卡,
ORD-16872,2026-03-17,板橋車站店,新北,蜂蜜柚子茶,非咖啡飲品,95,1,95,LINE Pay,M0209
ORD-21264,2026-05-04,竹北高鐵店,新竹,肉桂捲,甜點,85,1,85,LINE Pay,
ORD-19398,2026-04-13,台中西屯店,台中,蜂蜜柚子茶,非咖啡飲品,95,1,95,行動支付,
ORD-21177,2026-05-03,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,LINE Pay,M0020
ORD-11039,2026-01-11,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,信用卡,
ORD-19654,2026-04-16,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,行動支付,
ORD-15959,2026-03-07,板橋車站店,新北,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-24731,2026-06-12,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,行動支付,
ORD-26226,2026-06-29,信義旗艦店,台北,拿鐵,咖啡,110,3,330,信用卡,M0407
ORD-20342,2026-04-24,板橋車站店,新北,肉桂捲,甜點,85,1,85,信用卡,
ORD-20935,2026-05-01,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,
ORD-16965,2026-03-18,台中西屯店,台中,美式咖啡,咖啡,75,1,75,信用卡,M0014
ORD-16202,2026-03-10,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,2,190,行動支付,
ORD-10125,2026-01-02,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,信用卡,M0467
ORD-11607,2026-01-18,板橋車站店,新北,巴斯克起司蛋糕,甜點,120,3,360,現金,
ORD-11879,2026-01-21,台中西屯店,台中,可頌,甜點,65,1,65,信用卡,M0424
ORD-11825,2026-01-20,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-22863,2026-05-22,竹北高鐵店,新竹,美式咖啡,咖啡,75,3,225,行動支付,
ORD-13465,2026-02-07,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,LINE Pay,M0452
ORD-13355,2026-02-06,竹北高鐵店,新竹,蜂蜜柚子茶,非咖啡飲品,95,1,95,信用卡,
ORD-25455,2026-06-20,台中西屯店,台中,可頌,甜點,65,1,65,LINE Pay,
ORD-15509,2026-03-02,板橋車站店,新北,拿鐵,咖啡,110,2,220,信用卡,
ORD-15815,2026-03-05,台中西屯店,台中,拿鐵,咖啡,110,2,220,信用卡,M0017
ORD-14565,2026-02-19,高雄夢時代店,高雄市,拿鐵,咖啡,110,2,220,LINE Pay,M0275
ORD-17256,2026-03-21,台中西屯店,台中,美式咖啡,咖啡,75,1,75,信用卡,
